name,class_true,class_pred,summary,description,人工判别,说明（关键判别特征）
clang-resource-filesystem,库,其它,Filesystem package that owns the clang resource directory,This package owns the clang resouce directory: $libdir/clang/$version/,工具,跟随主包clang
clang-tools-extra,库,工具,Extra tools for clang,A set of extra tools built using Clang's tooling API.,工具,tools
git-clang-format,库,工具,Integration of clang-format for git,clang-format integration for git.,工具,跟随主包clang
cldr-emoji-annotation,工具,其它,Emoji annotation files in CLDR,This package provides the emoji annotation file by language in CLDR.,工具,
clevis-dracut,工具,其它,Dracut integration for clevis,Automatically unlocks LUKS block devices in early boot.,工具,
clevis-luks,工具,服务,LUKS integration for clevis,"LUKS integration for clevis. This package allows you to bind a LUKS
volume to a clevis unlocking policy. For automated unlocking, an unlocker
will also be required. See, for example, clevis-dracut and clevis-udisks2.",工具,
clevis-systemd,工具,服务,systemd integration for clevis,Automatically unlocks clevis-bound LUKS block devices during boot.,工具,
clevis-udisks2,工具,服务,UDisks2/Storaged integration for clevis,"Automatically unlocks LUKS block devices in desktop environments that
use UDisks2 or storaged (like GNOME).",工具,
clufter-bin,工具,库,Common internal compiled files for clufter,"While primarily aimed at (CMAN,rgmanager)->(Corosync/CMAN,Pacemaker) cluster
stacks configuration conversion (as per RHEL trend), the command-filter-format
framework (capable of XSLT) offers also other uses through its plugin library.

This package contains internal, arch-specific files for clufter.",工具,#NAME?
cmake,工具,库,Cross-platform make system,"CMake is used to control the software compilation process using simple
platform and compiler independent configuration files. CMake generates
native makefiles and workspaces that can be used in the compiler
environment of your choice. CMake is quite sophisticated: it is possible
to support complex environments requiring system configuration, preprocessor
generation, code generation, and template instantiation.",工具,编译工具
cmake-filesystem,工具,其它,Directories used by CMake modules,This package owns all directories used by CMake modules.,工具,
cmake-rpm-macros,工具,服务,Common RPM macros for cmake,This package contains common RPM macros for cmake.,工具,
cockpit,库,服务,Web Console for Linux servers,"The Cockpit Web Console enables users to administer GNU/Linux servers using a
web browser.

It offers network configuration, log inspection, diagnostic reports, SELinux
troubleshooting, interactive command-line sessions, and more.",服务,
cockpit-bridge,工具,服务,Cockpit bridge server-side component,"The Cockpit bridge component installed server side and runs commands on the
system on behalf of the web based user interface.",服务,
cockpit-system,库,服务,Cockpit admin interface package for configuring and troubleshooting a system,This package contains the Cockpit shell and system configuration interfaces.,服务,
cockpit-machines,库,服务,Cockpit user interface for virtual machines,"The Cockpit components for managing virtual machines.

If ""virt-install"" is installed, you can also create new virtual machines.",服务,
cockpit-packagekit,库,服务,Cockpit user interface for packages,"The Cockpit components for installing OS updates and Cockpit add-ons,
via PackageKit.",服务,
cockpit-pcp,库,服务,Cockpit PCP integration,Cockpit support for reading PCP metrics and loading PCP archives.,服务,
cockpit-storaged,库,工具,"Cockpit user interface for storage, using udisks",The Cockpit component for managing storage.  This package uses udisks.,服务,
cockpit-composer,库,服务,Composer GUI for use with Cockpit,"Composer generates custom images suitable for deploying systems or uploading to
the cloud. It integrates into Cockpit as a frontend for osbuild.",服务,
cockpit-podman,库,服务,Cockpit component for Podman containers,The Cockpit user interface for Podman containers.,服务,
cockpit-session-recording,库,服务,Cockpit Session Recording,"Cockpit module providing session recording configuration and playback.
This module allows viewing and playback of journal-stored terminal session
recordings generated by the tlog component.",服务,
colord-devel-docs,库,服务,Developer documentation package for colord,Documentation for development with colord.,库,devel
colord-gtk,库,服务,GTK support library for colord,"colord-gtk is a support library for colord and provides additional
functionality that requires GTK+.",库,library
color-filesystem,库,工具,Color filesystem layout,This package provides some directories that are required/used to store color.,库,
compat-exiv2-026,工具,库,Compatibility package with the exiv2 library in version 0.26,"A command line utility to access image metadata, allowing one to:
* print the Exif metadata of Jpeg images as summary info, interpreted values,
  or the plain data for each tag
* print the Iptc metadata of Jpeg images
* print the Jpeg comment of Jpeg images
* set, add and delete Exif and Iptc metadata of Jpeg images
* adjust the Exif timestamp (that's how it all started...)
* rename Exif image files according to the Exif timestamp
* extract, insert and delete Exif metadata (including thumbnails),
  Iptc metadata and Jpeg comments",库,library
compiler-rt,工具,库,"LLVM ""compiler-rt"" runtime libraries","The compiler-rt project is a part of the LLVM project. It provides
implementation of the low-level target-specific hooks required by
code generation, sanitizer runtimes and profiling library for code
instrumentation, and Blocks C language extension.",库,libraries
conmon,库,服务,OCI container runtime monitor,OCI container runtime monitor.,服务,
conntrack-tools,工具,库,Manipulate netfilter connection tracking table and run High Availability,"With conntrack-tools you can setup a High Availability cluster and
synchronize conntrack state between multiple firewalls.

The conntrack-tools package contains two programs:
- conntrack: the command line interface to interact with the connection
             tracking system.
- conntrackd: the connection tracking userspace daemon that can be used to
              deploy highly available GNU/Linux firewalls and collect
              statistics of the firewall use.

conntrack is used to search, list, inspect and maintain the netfilter
connection tracking subsystem of the Linux kernel.
Using conntrack, you can dump a list of all (or a filtered selection  of)
currently tracked connections, delete connections from the state table,
and even add new ones.
In addition, you can also monitor connection tracking events, e.g.
show an event message (one line) per newly established connection.",工具,tools
containerd,服务,工具,Open and reliable container runtime,"
Containerd is an industry-standard container runtime with an emphasis on
simplicity, robustness and portability. It is available as a daemon for Linux
and Windows, which can manage the complete container lifecycle of its host
system: image transfer and storage, container execution and supervision,
low-level storage and network attachments, etc.

%gopkg",服务,
