pkg,summary,description,summary_bert_key,description_bert_key,summary_textrank_key,description_textrank_key,predict_label,real_label
jasper,"
Runtime libraries for jasper.","
Runtime libraries for jasper.",jasper libraries runtime ,jasper libraries runtime ,runtime library jasper ,runtime library jasper ,0,应用库
jna,"
Pure Java access to native libraries.","
JNA provides Java programs easy access to native shared libraries
(DLLs on Windows) without writing anything but Java code. JNA's
design aims to provide native access in a natural way with a
minimum of effort. No boilerplate or generated code is required.
While some attention is paid to performance, correctness and ease
of use take priority.",java libraries native ,jna java libraries dlls shared ,pure java access ,native access java code provide ,0,应用库
jsoncpp,"
JSON library implemented in C++.","
jsoncpp is an implementation of a JSON (http://json.org) reader and writer in
C++. JSON (JavaScript Object Notation) is a lightweight data-interchange format.
It is easy for humans to read and write. It is easy for machines to parse and
generate.",json library implemented ,jsoncpp json parse implementation notation ,json library implement ,json easy http //json.org object ,0,应用库
json-glib,"
Library for JavaScript Object Notation format.","
json-glib is a library providing serialization and deserialization support
for the JavaScript Object Notation (JSON) format.",javascript notation library ,json glib javascript serialization notation ,library javascript object ,deserialization javascript support serialization object ,0,应用库
kyotocabinet,"
Libraries for applications using Kyoto Cabinet.","
The kyotocabinet-libs package provides the essential shared libraries
for any Kyoto Cabinet client program or interface.",kyoto libraries cabinet ,kyotocabinet kyoto libraries cabinet package ,libraries application kyoto ,shared kyoto library essential cabinet ,0,应用库
lame,"
LAME MP3 encoding library.","
LAME MP3 encoding library.",mp3 encoding library ,mp3 encoding library lame ,lame encode library ,lame encode library ,0,应用库
lapack,"
The Basic Linear Algebra Subprograms library.
The Basic Linear Algebra Subprograms library (64bit INTEGER).
Numerical linear algebra package libraries.
Numerical linear algebra package libraries.","
BLAS (Basic Linear Algebra Subprograms) is a standard library which
provides a number of basic algorithms for numerical algebra.
BLAS (Basic Linear Algebra Subprograms) is a standard library which
provides a number of basic algorithms for numerical algebra. This build
has 64bit INTEGER support.
LAPACK (Linear Algebra PACKage) is a standard library for numerical
linear algebra. LAPACK provides routines for solving systems of
simultaneous linear equations, least-squares solutions of linear
systems of equations, eigenvalue problems, and singular value
problems. Associated matrix factorizations (LU, Cholesky, QR, SVD,
Schur, and generalized Schur) and related computations (i.e.,
reordering of Schur factorizations and estimating condition numbers)
are also included. LAPACK can handle dense and banded matrices, but
not general sparse matrices. Similar functionality is provided for
real and complex matrices in both single and double precision. LAPACK
is coded in Fortran90 and built with gcc.
LAPACK (Linear Algebra PACKage) is a standard library for numerical
linear algebra. LAPACK provides routines for solving systems of
simultaneous linear equations, least-squares solutions of linear
systems of equations, eigenvalue problems, and singular value
problems. Associated matrix factorizations (LU, Cholesky, QR, SVD,
Schur, and generalized Schur) and related computations (i.e.,
reordering of Schur factorizations and estimating condition numbers)
are also included. LAPACK can handle dense and banded matrices, but
not general sparse matrices. Similar functionality is provided for
real and complex matrices in both single and double precision. LAPACK
is coded in Fortran90 and built with gcc.
This build has 64bit INTEGER support.",subprograms libraries numerical ,lapack matrices numerical blas fortran90 ,linear algebra library ,matrix provide linear lapack number ,0,应用库
ldns,"
Low-level DNS(SEC) library with API.","
ldns is a library with the aim to simplify DNS programming in C. All
low-level DNS/DNSSEC operations are supported. We also define a higher
level API which allows a programmer to (for instance) create or sign
packets.",dns api sec ,ldns dnssec dns library packets ,low-level library ,allow programmer program low-level level ,0,应用库
leptonica,"
C library for efficient image processing and image analysis operations.","
The library supports many operations that are useful on
 * Document images
 * Natural images

Fundamental image processing and image analysis operations
 * Rasterop (aka bitblt)
 * Affine transforms (scaling, translation, rotation, shear)
   on images of arbitrary pixel depth
 * Projective and bi-linear transforms
 * Binary and gray scale morphology, rank order filters, and
   convolution
 * Seed-fill and connected components
 * Image transformations with changes in pixel depth, both at
   the same scale and with scale change
 * Pixelwise masking, blending, enhancement, arithmetic ops,
   etc.",library processing image ,images pixelwise transforms library morphology ,image processing efficient ,image scale transforms operation depth ,0,应用库
libabw,"
A library for import of AbiWord files.","
libabw is a library for import of AbiWord files.",abiword import library ,abiword libabw library import files ,library import abiword ,libabw library import abiword file ,0,应用库
